loc_rowid,pl_hostname,pl_letter,pl_name,gaia_dist,st_teff,st_mass,st_rad,rowupdate,pl_disc,pl_facility,pl_status
3537,Kepler-841,b,Kepler-841 b,1027.69,5324.00,0.85,0.81,2016-05-10,2016,Kepler,3
3538,Kepler-842,b,Kepler-842 b,540.90,4848.00,0.78,0.73,2016-05-10,2016,Kepler,3
3539,Kepler-843,b,Kepler-843 b,1204.50,5830.00,1.02,1.03,2016-05-10,2016,Kepler,3
3540,Kepler-844,b,Kepler-844 b,436.97,4128.00,0.59,0.57,2016-05-10,2016,Kepler,3
3541,Kepler-845,b,Kepler-845 b,436.47,4913.00,0.79,0.75,2016-05-10,2016,Kepler,3
3542,Kepler-846,b,Kepler-846 b,1164.37,5579.00,0.94,0.91,2016-05-10,2016,Kepler,3
3543,Kepler-847,b,Kepler-847 b,520.78,4940.00,0.83,0.77,2016-05-10,2016,Kepler,3
3544,Kepler-848,b,Kepler-848 b,1435.51,5695.00,1.01,1.20,2016-05-10,2016,Kepler,3
3545,Kepler-849,b,Kepler-849 b,841.88,6059.00,1.23,1.64,2016-05-10,2016,Kepler,3
3546,Kepler-85,b,Kepler-85 b,782.09,5436.00,,0.89,2014-05-14,2012,Kepler,3
3547,Kepler-85,c,Kepler-85 c,782.09,5436.00,,0.89,2014-05-14,2012,Kepler,3
3548,Kepler-85,d,Kepler-85 d,782.09,5436.00,,0.89,2014-05-14,2014,Kepler,3
3549,Kepler-85,e,Kepler-85 e,782.09,5436.00,,0.89,2014-05-14,2014,Kepler,3
3550,Kepler-850,b,Kepler-850 b,1744.20,5932.00,1.06,1.09,2016-05-10,2016,Kepler,3
3551,Kepler-851,b,Kepler-851 b,859.76,5455.00,0.89,0.85,2016-05-10,2016,Kepler,3
3552,Kepler-852,b,Kepler-852 b,1697.53,6100.00,1.19,1.16,2016-05-10,2016,Kepler,3
3553,Kepler-853,b,Kepler-853 b,578.10,6350.00,1.30,1.55,2016-05-10,2016,Kepler,3
3554,Kepler-854,b,Kepler-854 b,1455.30,6179.00,1.17,1.27,2016-05-10,2016,Kepler,3
3555,Kepler-855,b,Kepler-855 b,1573.15,5835.00,1.03,1.03,2016-05-10,2016,Kepler,3
3556,Kepler-856,b,Kepler-856 b,1405.25,5535.00,0.96,0.93,2016-05-10,2016,Kepler,3
3557,Kepler-857,b,Kepler-857 b,1011.61,5773.00,0.99,0.99,2016-05-10,2016,Kepler,3
3558,Kepler-858,b,Kepler-858 b,301.12,5653.00,0.96,0.91,2016-05-10,2016,Kepler,3
3559,Kepler-859,b,Kepler-859 b,859.93,5020.00,0.81,0.77,2016-05-10,2016,Kepler,3
3560,Kepler-860,b,Kepler-860 b,1088.90,5836.00,1.04,1.06,2016-05-10,2016,Kepler,3
3561,Kepler-861,b,Kepler-861 b,871.10,5047.00,0.82,0.78,2016-05-10,2016,Kepler,3
3562,Kepler-862,b,Kepler-862 b,1067.88,5333.00,0.88,0.84,2016-05-10,2016,Kepler,3
3563,Kepler-863,b,Kepler-863 b,1562.95,5678.00,0.96,0.95,2016-05-10,2016,Kepler,3
3564,Kepler-864,b,Kepler-864 b,2153.64,5754.00,1.00,1.00,2016-05-10,2016,Kepler,3
3565,Kepler-865,b,Kepler-865 b,596.10,5570.00,0.93,0.92,2016-05-10,2016,Kepler,3
3566,Kepler-866,b,Kepler-866 b,658.51,4751.00,0.75,0.71,2016-05-10,2016,Kepler,3
3567,Kepler-867,b,Kepler-867 b,1233.23,5541.00,0.92,0.91,2016-05-10,2016,Kepler,3
3568,Kepler-868,b,Kepler-868 b,1669.86,5614.00,0.93,0.89,2016-05-10,2016,Kepler,3
3569,Kepler-869,b,Kepler-869 b,965.44,5664.00,0.97,0.95,2016-05-10,2016,Kepler,3
3570,Kepler-87,b,Kepler-87 b,1277.88,5600.00,1.10,1.82,2014-05-14,2013,Kepler,3
3571,Kepler-87,c,Kepler-87 c,1277.88,5600.00,1.10,1.82,2014-05-14,2013,Kepler,3
3572,Kepler-870,b,Kepler-870 b,1306.07,5857.00,1.01,1.02,2016-05-10,2016,Kepler,3
3573,Kepler-871,b,Kepler-871 b,2089.98,5993.00,1.11,1.14,2016-05-10,2016,Kepler,3
3574,Kepler-872,b,Kepler-872 b,901.81,5902.00,1.05,1.08,2016-05-10,2016,Kepler,3
3575,Kepler-873,b,Kepler-873 b,1223.38,6163.00,1.18,1.27,2016-05-10,2016,Kepler,3
3576,Kepler-874,b,Kepler-874 b,1116.42,6020.00,1.09,1.13,2016-05-10,2016,Kepler,3
