loc_rowid,pl_hostname,pl_letter,pl_name,gaia_dist,st_teff,st_mass,st_rad,rowupdate,pl_disc,pl_facility,pl_status
1079,K2-175,b,K2-175 b,249.01,5909.00,1.09,1.42,2018-02-15,2018,K2,3
1080,K2-176,b,K2-176 b,249.01,5428.00,0.94,0.86,2018-02-15,2018,K2,3
1081,K2-177,b,K2-177 b,499.02,6063.00,1.21,1.21,2018-02-15,2018,K2,3
1082,K2-178,b,K2-178 b,216.08,5525.00,0.95,0.89,2018-02-15,2018,K2,3
1083,K2-179,b,K2-179 b,191.84,5015.00,0.82,0.77,2018-02-15,2018,K2,3
1084,K2-18,b,K2-18 b,38.07,3457.00,0.36,0.41,2019-03-21,2015,K2,3
1085,K2-18,c,K2-18 c,38.07,3457.00,0.36,0.41,2017-12-21,2017,La Silla Observatory,3
1086,K2-180,b,K2-180 b,205.09,5358.00,0.72,0.72,2018-10-26,2018,K2,3
1087,K2-181,b,K2-181 b,364.64,5608.00,0.99,1.07,2018-10-26,2018,K2,3
1088,K2-182,b,K2-182 b,155.51,5165.00,0.88,0.80,2018-10-26,2018,K2,3
1089,K2-183,b,K2-183 b,332.14,5519.00,0.93,0.97,2018-02-15,2018,K2,3
1090,K2-183,c,K2-183 c,332.14,5519.00,0.93,0.97,2018-10-26,2018,K2,3
1091,K2-183,d,K2-183 d,332.14,5519.00,0.93,0.97,2018-10-26,2018,K2,3
1092,K2-184,b,K2-184 b,75.75,5220.00,0.86,0.78,2018-10-26,2018,K2,3
1093,K2-185,b,K2-185 b,270.41,5722.00,0.98,0.91,2018-02-15,2018,K2,3
1094,K2-186,b,K2-186 b,333.84,5784.00,1.02,0.98,2018-02-15,2018,K2,3
1095,K2-187,b,K2-187 b,334.01,5484.00,0.98,0.92,2018-10-26,2018,K2,3
1096,K2-187,c,K2-187 c,334.01,5484.00,0.98,0.92,2018-10-26,2018,K2,3
1097,K2-187,d,K2-187 d,334.01,5484.00,0.98,0.92,2018-10-26,2018,K2,3
1098,K2-187,e,K2-187 e,334.01,5484.00,0.98,0.92,2018-10-26,2018,K2,3
1099,K2-188,b,K2-188 b,452.54,5977.00,1.06,1.19,2018-10-26,2018,K2,3
1100,K2-188,c,K2-188 c,452.54,5977.00,1.06,1.19,2018-10-26,2018,K2,3
1101,K2-189,b,K2-189 b,243.80,5519.00,0.94,0.87,2018-10-26,2018,K2,3
1102,K2-189,c,K2-189 c,243.80,5519.00,0.94,0.87,2018-10-26,2018,K2,3
1103,K2-19,b,K2-19 b,292.14,5430.00,0.93,0.86,2016-07-07,2015,K2,3
1104,K2-19,c,K2-19 c,292.14,5430.00,0.93,0.86,2016-07-07,2015,K2,3
1105,K2-19,d,K2-19 d,292.14,5430.00,0.93,0.86,2016-07-07,2016,K2,3
1106,K2-190,b,K2-190 b,161.42,5631.00,0.90,0.91,2018-02-15,2018,K2,3
1107,K2-190,c,K2-190 c,161.42,5631.00,0.90,0.91,2018-02-15,2018,K2,3
1108,K2-191,b,K2-191 b,289.57,5176.00,0.90,0.84,2018-02-15,2018,K2,3
1109,K2-192,b,K2-192 b,223.16,5222.00,0.90,0.81,2018-10-26,2018,K2,3
1110,K2-193,b,K2-193 b,416.86,5817.00,1.01,0.98,2018-10-26,2018,K2,3
1111,K2-194,b,K2-194 b,640.65,5979.00,1.11,1.28,2018-02-15,2018,K2,3
1112,K2-195,b,K2-195 b,317.84,5713.00,0.94,0.99,2018-10-26,2018,K2,3
1113,K2-195,c,K2-195 c,317.84,5713.00,0.94,0.99,2018-02-15,2018,K2,3
1114,K2-196,b,K2-196 b,594.09,6045.00,1.16,1.54,2018-02-15,2018,K2,3
1115,K2-197,b,K2-197 b,249.39,5667.00,1.00,0.93,2018-10-26,2018,K2,3
1116,K2-198,b,K2-198 b,110.91,5212.90,0.80,0.76,2019-08-15,2018,K2,3
1117,K2-198,c,K2-198 c,110.91,5212.90,0.80,0.76,2019-08-15,2019,K2,3
1118,K2-198,d,K2-198 d,110.91,5212.90,0.80,0.76,2019-08-15,2019,K2,3
1119,K2-199,b,K2-199 b,107.85,4648.00,0.73,0.68,2018-10-26,2018,K2,3
1120,K2-199,c,K2-199 c,107.85,4648.00,0.73,0.68,2018-10-26,2018,K2,3
1121,K2-200,b,K2-200 b,185.09,5233.00,0.86,0.79,2018-02-15,2018,K2,3
1122,K2-201,b,K2-201 b,199.05,5507.00,0.96,0.88,2018-02-15,2018,K2,3
1123,K2-201,c,K2-201 c,199.05,5507.00,0.96,0.88,2018-02-15,2018,K2,3
1124,K2-202,b,K2-202 b,302.99,5491.00,0.97,0.91,2018-02-15,2018,K2,3
1125,K2-203,b,K2-203 b,166.93,5000.00,0.79,0.76,2018-02-15,2018,K2,3
1126,K2-204,b,K2-204 b,586.87,5755.00,1.01,1.18,2018-02-15,2018,K2,3
1127,K2-205,b,K2-205 b,409.95,5890.00,0.95,1.08,2018-02-15,2018,K2,3
1128,K2-206,b,K2-206 b,246.14,5043.00,0.79,0.76,2018-02-15,2018,K2,3
1129,K2-207,b,K2-207 b,366.84,5522.00,0.94,0.93,2018-02-15,2018,K2,3
1130,K2-208,b,K2-208 b,258.76,5582.00,0.93,0.86,2018-02-15,2018,K2,3
1131,K2-209,b,K2-209 b,76.67,4720.00,0.74,0.71,2018-02-15,2018,K2,3
1132,K2-21,b,K2-21 b,83.85,4222.06,0.68,0.65,2017-10-26,2015,K2,3
1133,K2-21,c,K2-21 c,83.85,4222.06,0.68,0.65,2017-10-26,2015,K2,3
1134,K2-210,b,K2-210 b,177.39,5396.00,0.91,0.85,2018-02-15,2018,K2,3
1135,K2-211,b,K2-211 b,274.39,5221.00,0.88,0.82,2018-02-15,2018,K2,3
1136,K2-212,b,K2-212 b,109.55,4272.00,0.67,0.65,2018-10-26,2018,K2,3
1137,K2-213,b,K2-213 b,394.05,5794.00,1.07,1.20,2018-02-15,2018,K2,3
1138,K2-214,b,K2-214 b,303.22,5854.00,1.05,1.27,2018-10-26,2018,K2,3
1139,K2-215,b,K2-215 b,408.67,5704.00,1.00,0.97,2018-02-15,2018,K2,3
1140,K2-216,b,K2-216 b,115.84,4503.00,0.70,0.72,2018-11-01,2018,K2,3
1141,K2-217,b,K2-217 b,386.01,5967.00,1.10,1.33,2018-02-15,2018,K2,3
1142,K2-218,b,K2-218 b,398.41,5757.00,1.05,1.01,2018-02-15,2018,K2,3
1143,K2-219,b,K2-219 b,328.42,5753.00,1.02,1.19,2018-02-15,2018,K2,3
1144,K2-219,c,K2-219 c,328.42,5753.00,1.02,1.19,2018-02-15,2018,K2,3
1145,K2-219,d,K2-219 d,328.42,5753.00,1.02,1.19,2018-02-15,2018,K2,3
1146,K2-22,b,K2-22 b,245.53,3830.00,0.60,0.57,2015-10-15,2015,K2,3
1147,K2-220,b,K2-220 b,235.06,5660.00,0.96,1.02,2018-10-26,2018,K2,3
1148,K2-221,b,K2-221 b,321.63,5716.00,1.01,0.95,2018-02-15,2018,K2,3
1149,K2-222,b,K2-222 b,101.61,6058.00,1.00,1.09,2018-10-26,2018,K2,3
1150,K2-223,b,K2-223 b,199.70,5835.00,1.06,0.99,2018-07-12,2018,K2,3
1151,K2-223,c,K2-223 c,199.70,5835.00,1.06,0.99,2018-07-12,2018,K2,3
1152,K2-224,b,K2-224 b,277.42,5620.00,0.91,0.84,2018-07-12,2018,K2,3
1153,K2-224,c,K2-224 c,277.42,5620.00,0.91,0.84,2018-07-12,2018,K2,3
1154,K2-225,b,K2-225 b,361.41,5742.00,1.27,1.70,2018-07-12,2018,K2,3
1155,K2-226,b,K2-226 b,212.49,5424.00,0.88,0.91,2018-07-12,2018,K2,3
1156,K2-227,b,K2-227 b,188.22,5673.00,0.95,0.89,2018-02-15,2018,K2,3
1157,K2-228,b,K2-228 b,129.74,4715.00,0.71,0.65,2018-07-12,2018,K2,3
1158,K2-229,b,K2-229 b,102.85,5315.00,0.87,0.79,2018-07-12,2018,K2,3
1159,K2-229,c,K2-229 c,102.85,5315.00,0.87,0.79,2018-07-12,2018,K2,3
1160,K2-230,b,K2-230 b,549.02,5945.00,1.11,1.39,2018-07-12,2018,K2,3
1161,K2-231,b,K2-231 b,324.14,5695.00,1.01,0.95,2018-04-05,2018,K2,3
1162,K2-232,b,K2-232 b,131.21,6154.00,1.19,1.16,2018-04-05,2018,K2,3
1163,K2-233,b,K2-233 b,67.64,4950.00,0.80,0.74,2018-04-26,2018,K2,3
1164,K2-233,c,K2-233 c,67.64,4950.00,0.80,0.74,2018-04-26,2018,K2,3
1165,K2-233,d,K2-233 d,67.64,4950.00,0.80,0.74,2018-04-26,2018,K2,3
1166,K2-237,b,K2-237 b,317.60,6099.00,1.23,1.38,2019-05-23,2018,K2,3
1167,K2-238,b,K2-238 b,6779.46,5630.00,1.19,1.59,2018-06-21,2018,K2,3
1168,K2-239,b,K2-239 b,31.11,3420.00,0.40,0.36,2018-06-21,2018,K2,3
1169,K2-239,c,K2-239 c,31.11,3420.00,0.40,0.36,2018-06-21,2018,K2,3
1170,K2-239,d,K2-239 d,31.11,3420.00,0.40,0.36,2018-06-21,2018,K2,3
1171,K2-24,b,K2-24 b,171.39,5625.00,1.07,1.16,2018-12-13,2016,K2,3
1172,K2-24,c,K2-24 c,171.39,5625.00,1.07,1.16,2018-12-13,2016,K2,3
1173,K2-240,b,K2-240 b,73.06,3810.00,0.58,0.54,2018-06-21,2018,K2,3
1174,K2-240,c,K2-240 c,73.06,3810.00,0.58,0.54,2018-06-21,2018,K2,3
1175,K2-241,b,K2-241 b,150.10,5262.00,0.71,0.75,2018-07-12,2018,K2,3
1176,K2-242,b,K2-242 b,109.58,3459.00,0.38,0.37,2018-07-12,2018,K2,3
1177,K2-243,b,K2-243 b,268.88,6570.00,1.29,1.39,2018-07-12,2018,K2,3
1178,K2-243,c,K2-243 c,268.88,6570.00,1.29,1.39,2018-07-12,2018,K2,3
1179,K2-244,b,K2-244 b,214.18,5677.00,0.86,0.92,2018-07-12,2018,K2,3
1180,K2-245,b,K2-245 b,462.01,5793.00,0.83,1.25,2018-07-12,2018,K2,3
1181,K2-246,b,K2-246 b,717.78,5610.00,0.87,0.94,2018-07-12,2018,K2,3
1182,K2-247,b,K2-247 b,260.04,4667.00,0.74,0.69,2018-07-12,2018,K2,3
1183,K2-247,c,K2-247 c,260.04,4667.00,0.74,0.69,2018-07-12,2018,K2,3
1184,K2-248,b,K2-248 b,411.03,5528.00,0.88,0.92,2018-07-12,2018,K2,3
1185,K2-249,b,K2-249 b,529.23,6504.00,1.32,1.57,2018-07-12,2018,K2,3
1186,K2-25,b,K2-25 b,45.01,3180.00,0.29,0.29,2017-09-28,2015,K2,3
1187,K2-250,b,K2-250 b,419.64,5172.00,0.80,0.81,2018-07-12,2018,K2,3
1188,K2-251,b,K2-251 b,147.65,3717.00,0.52,0.49,2018-07-12,2018,K2,3
1189,K2-252,b,K2-252 b,230.34,5152.00,0.79,0.82,2018-07-12,2018,K2,3
1190,K2-253,b,K2-253 b,899.17,6027.00,1.08,1.10,2018-07-12,2018,K2,3
1191,K2-254,b,K2-254 b,229.28,4629.00,0.71,0.67,2018-07-12,2018,K2,3
1192,K2-254,c,K2-254 c,229.28,4629.00,0.71,0.67,2018-07-12,2018,K2,3
1193,K2-255,b,K2-255 b,192.66,4676.00,0.71,0.69,2018-07-12,2018,K2,3
1194,K2-256,b,K2-256 b,573.78,5219.00,0.84,0.78,2018-07-12,2018,K2,3
1195,K2-257,b,K2-257 b,64.12,3725.00,0.52,0.50,2018-07-12,2018,K2,3
1196,K2-258,b,K2-258 b,674.71,6351.00,1.21,1.31,2018-07-12,2018,K2,3
1197,K2-259,b,K2-259 b,421.37,6059.00,1.14,1.13,2018-07-12,2018,K2,3
1198,K2-26,b,K2-26 b,99.33,3785.00,0.56,0.52,2016-01-21,2016,K2,3
1199,K2-260,b,K2-260 b,676.32,6367.00,1.39,1.69,2018-08-16,2018,K2,3
1200,K2-261,b,K2-261 b,214.58,5537.00,1.10,1.65,2018-08-16,2018,K2,3
1201,K2-263,b,K2-263 b,163.23,5368.00,0.88,0.85,2018-09-27,2018,K2,3
1202,K2-264,b,K2-264 b,186.57,3660.00,0.50,0.47,2019-02-07,2018,K2,3
1203,K2-264,c,K2-264 c,186.57,3660.00,0.50,0.47,2019-02-07,2018,K2,3
1204,K2-265,b,K2-265 b,139.22,5477.00,0.92,0.98,2018-10-04,2018,K2,3
1205,K2-266,b,K2-266 b,77.73,4285.00,0.69,0.70,2018-10-26,2018,K2,3
1206,K2-266,c,K2-266 c,77.73,4285.00,0.69,0.70,2018-10-26,2018,K2,3
1207,K2-266,d,K2-266 d,77.73,4285.00,0.69,0.70,2019-07-25,2018,K2,3
1208,K2-266,e,K2-266 e,77.73,4285.00,0.69,0.70,2019-07-25,2018,K2,3
1209,K2-268,b,K2-268 b,330.89,5068.00,0.84,0.78,2018-10-26,2018,K2,3
1210,K2-268,c,K2-268 c,330.89,5068.00,0.84,0.78,2018-10-26,2018,K2,3
1211,K2-269,b,K2-269 b,363.85,6209.00,1.16,1.45,2018-10-26,2018,K2,3
1212,K2-27,b,K2-27 b,251.43,5248.00,0.87,0.89,2017-02-09,2016,K2,3
1213,K2-270,b,K2-270 b,282.79,4877.00,0.85,0.77,2018-10-26,2018,K2,3
1214,K2-270,c,K2-270 c,282.79,4877.00,0.85,0.77,2018-10-26,2018,K2,3
1215,K2-271,b,K2-271 b,573.61,5644.00,0.83,0.99,2018-10-26,2018,K2,3
1216,K2-272,b,K2-272 b,428.26,5419.00,0.81,0.81,2018-10-26,2018,K2,3
1217,K2-273,b,K2-273 b,310.85,5200.00,0.90,0.84,2018-10-26,2018,K2,3
1218,K2-274,b,K2-274 b,229.71,5065.00,0.81,0.74,2018-10-26,2018,K2,3
1219,K2-275,b,K2-275 b,123.87,4812.00,0.79,0.73,2018-10-26,2018,K2,3
1220,K2-275,c,K2-275 c,123.87,4812.00,0.79,0.73,2018-10-26,2018,K2,3
1221,K2-276,b,K2-276 b,495.07,5139.00,0.82,0.85,2018-10-26,2018,K2,3
1222,K2-277,b,K2-277 b,113.49,5741.00,1.02,0.97,2018-10-26,2018,K2,3
1223,K2-278,b,K2-278 b,804.50,6747.00,1.40,1.61,2018-10-26,2018,K2,3
1224,K2-279,b,K2-279 b,183.94,5558.00,0.79,0.86,2018-10-26,2018,K2,3
1225,K2-28,b,K2-28 b,63.11,3214.00,0.26,0.29,2016-02-25,2016,K2,3
1226,K2-280,b,K2-280 b,395.78,5742.00,1.11,1.28,2018-10-26,2018,K2,3
1227,K2-281,b,K2-281 b,464.21,4812.00,0.82,0.76,2018-10-26,2018,K2,3
1228,K2-282,b,K2-282 b,503.46,,0.94,,2018-10-26,2018,K2,3
1229,K2-283,b,K2-283 b,407.62,5060.00,0.89,0.82,2018-10-26,2018,K2,3
1230,K2-284,b,K2-284 b,107.60,4140.00,0.63,0.61,2018-11-15,2018,K2,3
1231,K2-285,b,K2-285 b,155.65,4975.00,0.83,0.79,2018-12-13,2018,K2,3
1232,K2-285,c,K2-285 c,155.65,4975.00,0.83,0.79,2018-12-13,2018,K2,3
1233,K2-285,d,K2-285 d,155.65,4975.00,0.83,0.79,2018-12-13,2018,K2,3
1234,K2-285,e,K2-285 e,155.65,4975.00,0.83,0.79,2018-12-13,2018,K2,3
1235,K2-286,b,K2-286 b,76.32,3926.00,0.64,0.62,2019-01-10,2018,K2,3
1236,K2-287,b,K2-287 b,159.05,5695.00,1.06,1.07,2019-01-10,2018,K2,3
1237,K2-288 B,b,K2-288 B b,65.72,3341.00,0.33,0.32,2019-01-10,2018,K2,3
1238,K2-289,b,K2-289 b,276.47,5529.00,0.95,1.02,2019-01-31,2019,K2,3
1239,K2-29,b,K2-29 b,179.39,5358.00,0.94,0.86,2016-03-24,2016,K2,3
1240,K2-290,b,K2-290 b,274.99,6302.00,1.19,1.51,2019-01-24,2019,K2,3
1241,K2-290,c,K2-290 c,274.99,6302.00,1.19,1.51,2019-01-24,2019,K2,3
1242,K2-291,b,K2-291 b,90.29,5520.00,0.93,0.90,2019-01-24,2019,K2,3
1243,K2-292,b,K2-292 b,114.66,5725.00,1.00,1.09,2019-02-07,2019,K2,3
1244,K2-293,b,K2-293 b,396.64,5532.00,0.96,0.95,2019-04-04,2019,K2,3
1245,K2-294,b,K2-294 b,377.04,5612.00,0.99,1.20,2019-04-04,2019,K2,3
1246,K2-295,b,K2-295 b,234.36,4444.00,0.74,0.70,2019-05-23,2018,K2,3
1247,K2-3,b,K2-3 b,44.13,3896.00,0.60,0.56,2020-05-07,2015,K2,3
1248,K2-3,c,K2-3 c,44.13,3896.00,0.60,0.56,2020-05-07,2015,K2,3
1249,K2-3,d,K2-3 d,44.13,3896.00,0.60,0.56,2020-05-07,2015,K2,3
1250,K2-30,b,K2-30 b,336.26,5425.00,0.90,0.84,2016-04-14,2016,K2,3
1251,K2-308,b,K2-308 b,,6100.00,1.09,1.24,2019-06-13,2019,K2,3
1252,K2-31,b,K2-31 b,110.87,5280.00,0.91,0.78,2016-12-01,2016,K2,3
1253,K2-32,b,K2-32 b,158.39,,0.86,0.84,2019-06-13,2016,K2,3
1254,K2-32,c,K2-32 c,158.39,,0.86,0.84,2019-06-13,2016,K2,3
1255,K2-32,d,K2-32 d,158.39,,0.86,0.84,2019-06-13,2016,K2,3
1256,K2-32,e,K2-32 e,158.39,,0.86,0.84,2019-06-13,2019,K2,3
1257,K2-33,b,K2-33 b,139.80,3540.00,0.56,1.05,2016-06-23,2016,K2,3
1258,K2-34,b,K2-34 b,352.08,6071.00,1.15,1.44,2018-10-26,2016,K2,3
1259,K2-35,b,K2-35 b,254.43,4402.71,0.70,0.62,2017-10-26,2016,K2,3
1260,K2-35,c,K2-35 c,254.43,4402.71,0.70,0.62,2017-10-26,2016,K2,3
1261,K2-36,b,K2-36 b,110.09,4916.00,0.79,0.72,2019-08-15,2016,K2,3
1262,K2-36,c,K2-36 c,110.09,4916.00,0.79,0.72,2019-08-15,2016,K2,3
1263,K2-37,b,K2-37 b,180.86,5413.00,0.90,0.85,2016-07-07,2016,K2,3
1264,K2-37,c,K2-37 c,180.86,5413.00,0.90,0.85,2016-07-07,2016,K2,3
1265,K2-37,d,K2-37 d,180.86,5413.00,0.90,0.85,2016-07-07,2016,K2,3
1266,K2-38,b,K2-38 b,193.71,5757.00,2.24,1.38,2018-04-26,2016,K2,3
1267,K2-38,c,K2-38 c,193.71,5757.00,2.24,1.38,2016-07-07,2016,K2,3
1268,K2-39,b,K2-39 b,310.14,4881.00,0.66,2.97,2018-04-26,2016,K2,3
1269,K2-4,b,K2-4 b,233.37,4014.73,0.64,0.57,2017-10-26,2015,K2,3
1270,K2-42,b,K2-42 b,401.36,4613.00,0.70,0.64,2016-07-18,2016,K2,3
1271,K2-43,b,K2-43 b,183.48,3840.60,0.57,0.54,2019-08-15,2016,K2,3
1272,K2-43,c,K2-43 c,183.48,3840.60,0.57,0.54,2019-08-15,2019,K2,3
1273,K2-44,b,K2-44 b,483.19,5912.00,1.15,1.58,2016-07-18,2016,K2,3
1274,K2-45,b,K2-45 b,502.34,4103.00,0.50,0.45,2016-07-18,2016,K2,3
1275,K2-46,b,K2-46 b,454.93,6256.00,0.96,1.29,2016-07-18,2016,K2,3
1276,K2-47,b,K2-47 b,353.38,5054.00,0.75,0.76,2016-07-18,2016,K2,3
1277,K2-48,b,K2-48 b,316.61,4899.00,0.77,0.73,2016-07-18,2016,K2,3
1278,K2-49,b,K2-49 b,463.06,4175.00,0.51,0.45,2016-07-18,2016,K2,3
1279,K2-5,b,K2-5 b,204.12,3930.00,0.61,0.57,2016-07-07,2015,K2,3
1280,K2-5,c,K2-5 c,204.12,3930.00,0.61,0.57,2016-07-07,2015,K2,3
1281,K2-50,b,K2-50 b,259.33,,0.61,,2016-07-18,2016,K2,3
1282,K2-52,b,K2-52 b,1064.53,7147.00,1.69,2.19,2019-01-31,2016,K2,3
1283,K2-53,b,K2-53 b,138.56,5263.00,0.85,0.81,2019-01-31,2016,K2,3
1284,K2-54,b,K2-54 b,175.84,3798.00,0.42,0.38,2016-07-18,2016,K2,3
1285,K2-55,b,K2-55 b,160.26,4456.00,0.70,0.63,2016-07-18,2016,K2,3
1286,K2-57,b,K2-57 b,266.23,4434.00,0.68,0.62,2016-07-18,2016,K2,3
1287,K2-58,b,K2-58 b,182.69,5413.00,0.89,0.86,2016-07-18,2016,K2,3
1288,K2-58,c,K2-58 c,182.69,5413.00,0.89,0.86,2016-07-18,2016,K2,3
1289,K2-58,d,K2-58 d,182.69,5413.00,0.89,0.86,2016-07-18,2016,K2,3
1290,K2-59,b,K2-59 b,314.09,5055.00,0.77,0.73,2016-07-18,2016,K2,3
1291,K2-59,c,K2-59 c,314.09,5055.00,0.77,0.73,2016-07-18,2016,K2,3
1292,K2-6,b,K2-6 b,319.59,5850.00,0.97,0.96,2015-07-16,2015,K2,3
1293,K2-60,b,K2-60 b,498.70,5500.00,0.97,1.12,2017-02-02,2016,K2,3
1294,K2-61,b,K2-61 b,410.35,6293.00,1.21,1.36,2016-07-18,2016,K2,3
1295,K2-62,b,K2-62 b,112.83,4880.00,0.77,0.73,2016-07-18,2016,K2,3
1296,K2-62,c,K2-62 c,112.83,4880.00,0.77,0.73,2016-07-18,2016,K2,3
1297,K2-63,b,K2-63 b,524.41,6771.00,1.40,1.63,2016-07-18,2016,K2,3
1298,K2-63,c,K2-63 c,524.41,6771.00,1.40,1.63,2019-03-28,2016,K2,3
1299,K2-64,b,K2-64 b,506.87,5312.00,0.74,0.73,2016-07-18,2016,K2,3
1300,K2-65,b,K2-65 b,,5213.00,0.87,0.84,2016-07-18,2016,K2,3
1301,K2-66,b,K2-66 b,520.43,5887.00,1.11,1.67,2019-07-25,2016,K2,3
1302,K2-68,b,K2-68 b,169.47,4746.00,0.73,0.68,2016-07-18,2016,K2,3
1303,K2-69,b,K2-69 b,181.63,4127.00,0.55,0.49,2016-07-18,2016,K2,3
1304,K2-7,b,K2-7 b,754.64,5772.00,0.97,0.96,2015-07-16,2015,K2,3
1305,K2-70,b,K2-70 b,234.47,5622.00,0.94,0.93,2016-07-18,2016,K2,3
1306,K2-71,b,K2-71 b,153.86,4006.00,0.48,0.43,2016-07-18,2016,K2,3
1307,K2-72,b,K2-72 b,66.56,3360.47,0.27,0.33,2017-10-26,2016,K2,3
1308,K2-72,c,K2-72 c,66.56,3360.47,0.27,0.33,2017-10-26,2016,K2,3
1309,K2-72,d,K2-72 d,66.56,3360.47,0.27,0.33,2017-10-26,2016,K2,3
1310,K2-72,e,K2-72 e,66.56,3360.47,0.27,0.33,2017-10-26,2016,K2,3
1311,K2-73,b,K2-73 b,271.27,5922.00,1.05,1.06,2016-07-18,2016,K2,3
1312,K2-74,b,K2-74 b,381.85,6060.00,0.96,0.98,2016-07-18,2016,K2,3
1313,K2-75,b,K2-75 b,570.86,5995.00,1.16,1.56,2016-07-18,2016,K2,3
1314,K2-75,c,K2-75 c,570.86,5995.00,1.16,1.56,2016-07-18,2016,K2,3
1315,K2-77,b,K2-77 b,142.31,4970.00,0.80,0.76,2016-09-29,2016,K2,3
1316,K2-79,b,K2-79 b,257.90,5926.00,1.06,1.28,2016-07-18,2016,K2,3
1317,K2-8,b,K2-8 b,407.93,4870.00,0.78,0.74,2016-07-07,2015,K2,3
1318,K2-8,c,K2-8 c,407.93,4870.00,0.78,0.74,2016-07-07,2016,K2,3
1319,K2-80,b,K2-80 b,201.96,5441.00,0.90,0.87,2016-07-18,2016,K2,3
1320,K2-80,c,K2-80 c,201.96,5441.00,0.90,0.87,2016-07-18,2016,K2,3
1321,K2-80,d,K2-80 d,201.96,5441.00,0.90,0.87,2018-02-15,2018,K2,3
1322,K2-81,b,K2-81 b,254.14,4674.13,0.75,0.63,2017-10-26,2016,K2,3
1323,K2-83,b,K2-83 b,125.98,3910.00,0.48,0.42,2016-07-18,2016,K2,3
1324,K2-83,c,K2-83 c,125.98,3910.00,0.48,0.42,2016-07-18,2016,K2,3
1325,K2-84,b,K2-84 b,287.23,5652.00,0.95,0.93,2016-07-18,2016,K2,3
1326,K2-84,c,K2-84 c,287.23,5652.00,0.95,0.93,2016-07-18,2016,K2,3
1327,K2-85,b,K2-85 b,97.49,4268.00,0.57,0.51,2016-07-18,2016,K2,3
1328,K2-86,b,K2-86 b,260.61,5482.00,0.79,0.76,2016-07-18,2016,K2,3
1329,K2-87,b,K2-87 b,498.24,5747.00,1.16,1.40,2019-01-31,2016,K2,3
1330,K2-88,b,K2-88 b,110.91,3537.00,0.26,0.26,2016-07-18,2016,K2,3
1331,K2-89,b,K2-89 b,86.25,3691.00,0.35,0.32,2016-07-18,2016,K2,3
1332,K2-9,b,K2-9 b,83.16,3390.00,0.30,0.31,2016-01-21,2015,K2,3
1333,K2-90,b,K2-90 b,134.71,4484.00,0.63,0.62,2019-01-31,2016,K2,3
1334,K2-90,c,K2-90 c,134.71,4484.00,0.63,0.62,2017-10-26,2016,K2,3
1335,K2-91,b,K2-91 b,62.69,3622.00,0.29,0.28,2016-07-18,2016,K2,3
1336,K2-95,b,K2-95 b,180.66,3548.00,0.44,0.42,2018-10-26,2016,K2,3
1337,K2-97,b,K2-97 b,901.49,4717.00,1.20,4.47,2018-10-26,2016,K2,3
1338,K2-98,b,K2-98 b,526.34,6172.00,1.20,1.57,2018-10-26,2016,K2,3
1339,K2-99,b,K2-99 b,526.77,6217.00,1.63,2.63,2018-10-26,2016,K2,3
1340,KELT-1,b,KELT-1 b,270.49,6518.00,1.32,1.46,2014-05-14,2012,KELT,3
1341,KELT-10,b,KELT-10 b,189.39,5948.00,1.11,1.21,2016-04-28,2016,KELT-South,3
1342,KELT-11,b,KELT-11 b,99.44,5375.00,1.44,2.69,2019-01-10,2017,KELT-South,3
1343,KELT-12,b,KELT-12 b,371.96,6279.00,1.59,2.37,2017-04-27,2017,KELT-North,3
1344,KELT-14,b,KELT-14 b,251.93,5720.00,1.24,1.52,2016-06-03,2016,KELT-South,3
1345,KELT-15,b,KELT-15 b,327.74,6003.00,2.06,1.78,2018-04-26,2016,KELT-South,3
1346,KELT-16,b,KELT-16 b,450.28,6236.00,1.21,1.36,2017-02-09,2017,KELT,3
1347,KELT-17,b,KELT-17 b,227.96,7454.00,1.64,1.65,2016-09-08,2016,KELT,3
1348,KELT-18,b,KELT-18 b,324.38,6670.00,1.52,1.91,2017-04-27,2017,KELT-North,3
1349,KELT-19 A,b,KELT-19 A b,302.80,7500.00,1.62,1.83,2018-01-11,2017,KELT,3
1350,KELT-2 A,b,KELT-2 A b,134.57,6327.00,1.54,1.93,2018-04-26,2012,KELT,3
1351,KELT-20,b,KELT-20 b,136.96,8720.00,1.76,1.56,2017-11-02,2017,KELT-North,3
1352,KELT-21,b,KELT-21 b,477.26,7598.00,1.46,1.64,2018-02-01,2018,KELT-North,3
1353,KELT-23 A,b,KELT-23 A b,126.72,5899.00,0.94,1.00,2019-06-13,2019,KELT-North,3
1354,KELT-24,b,KELT-24 b,96.79,6509.00,1.46,1.51,2019-09-12,2019,KELT-North,3
1355,KELT-3,b,KELT-3 b,211.35,6304.00,1.96,1.70,2018-04-26,2013,KELT,3
1356,KELT-4 A,b,KELT-4 A b,219.41,6206.00,1.20,1.60,2016-02-25,2016,KELT,3
1357,KELT-6,b,KELT-6 b,242.39,6102.00,1.42,1.73,2018-04-26,2014,KELT,3
1358,KELT-6,c,KELT-6 c,242.39,6102.00,1.42,1.73,2015-09-03,2015,Multiple Observatories,3
1359,KELT-7,b,KELT-7 b,137.21,6768.00,1.76,1.81,2018-04-26,2015,KELT,3
1360,KELT-8,b,KELT-8 b,198.70,5754.00,0.81,1.46,2018-04-26,2015,KELT,3
